population,treatment,replicate,tag,date,doy,ndvi,lai,biomass_g
TL,Dry,2,TL 1-2,8/12/17,224,0.39,0.592705341951152,0.2038516149509959
TL,Dry,3,TL 1-3,8/12/17,224,0.56,2.1758994138663192,0.5036050608606268
TL,Dry,4,TL 1-4,8/12/17,224,0.41,0.6906943401284741,0.22673736187188107
TL,Dry,5,TL 1-5,8/12/17,224,0.62,3.443340592633413,0.6929739106319657
TL,Dry,6,TL 1-6,8/12/17,224,0.55,2.0156507632344045,0.47751346166191155
TL,Deep,1,TL 3-1,8/12/17,224,0.44,0.8688733580376395,0.26597234879651266
TL,Deep,2,TL 3-2,8/12/17,224,0.46,1.012519827659118,0.29583218514842796
TL,Deep,3,TL 3-3,8/12/17,224,0.38,0.5490543208310023,0.193290135238654
TL,Deep,4,TL 3-4,8/12/17,224,0.64,4.012610803603205,0.7707718007556803
TL,Deep,5,TL 3-5,8/12/17,224,0.44,0.8688733580376395,0.26597234879651266
TL,Deep,6,TL 3-6,8/12/17,224,0.5,1.3749840109900042,0.36598500092614666
SG,Wet,1,SG 2-1,8/12/17,224,0.54,1.8672039587106786,0.4527736589435233
SG,Wet,2,SG 2-2,8/12/17,224,0.66,4.67599560021431,0.8573038028204663
SG,Wet,3,SG 2-3,8/12/17,224,0.71,6.854751782652693,1.1185543274854868
SG,Wet,4,SG 2-4,8/12/17,224,0.65,4.331622151460234,0.812887197521663
SG,Wet,5,SG 2-5,8/12/17,224,0.47,1.0930173717178273,0.3119966190852411
SG,Wet,6,SG 2-6,8/12/17,224,0.64,4.012610803603205,0.7707718007556803
SG,Dry,1,SG 1-1,8/12/17,224,0.56,2.1758994138663192,0.5036050608606268
SG,Dry,2,SG 1-2,8/12/17,224,0.54,1.8672039587106786,0.4527736589435233
SG,Dry,3,SG 1-3,8/12/17,224,0.57,2.3488881832220447,0.531122319445733
SG,Dry,4,SG 1-4,8/12/17,224,0.62,3.443340592633413,0.6929739106319657
SG,Dry,5,SG 1-5,8/12/17,224,0.65,4.331622151460234,0.812887197521663
SG,Dry,6,SG 1-6,8/12/17,224,0.59,2.737218072652074,0.5907496664735727
SG,Deep,1,SG 3-1,8/12/17,224,0.44,0.8688733580376395,0.26597234879651266
SG,Deep,2,SG 3-2,8/12/17,224,0.42,0.7456060530221711,0.23912641651496003
SG,Deep,3,SG 3-3,8/12/17,224,0.46,1.012519827659118,0.29583218514842796
SG,Deep,4,SG 3-4,8/12/17,224,0.53,1.7296898287232623,0.42931561661030765
SG,Deep,5,SG 3-5,8/12/17,224,0.5,1.3749840109900042,0.36598500092614666
SG,Deep,6,SG 3-6,8/12/17,224,0.37,0.508618070204669,0.18327584203617128
CF,Wet,1,CF 2-1,8/20/17,232,0.5,1.3749840109900042,0.36598500092614666
CF,Wet,2,CF 2-2,8/20/17,232,0.58,2.5356299386452834,0.5601431362332641
CF,Wet,3,CF 2-3,8/20/17,232,0.57,2.3488881832220447,0.531122319445733
CF,Wet,4,CF 2-4,8/20/17,232,0.61,3.1897485928749614,0.6570711786370236
CF,Wet,5,CF 2-5,8/20/17,232,0.7,6.349919290586819,1.060602425364279
CF,Wet,6,CF 2-6,8/20/17,232,0.55,2.0156507632344045,0.47751346166191155
CF,Dry,1,CF 1-1,8/20/17,232,0.5,1.3749840109900042,0.36598500092614666
CF,Dry,2,CF 1-2,8/20/17,232,0.53,1.7296898287232623,0.42931561661030765
CF,Dry,3,CF 1-3,8/20/17,232,0.57,2.3488881832220447,0.531122319445733
CF,Dry,4,CF 1-4,8/20/17,232,0.42,0.7456060530221711,0.23912641651496003
CF,Dry,5,CF 1-5,8/20/17,232,0.65,4.331622151460234,0.812887197521663
CF,Dry,6,CF 1-6,8/20/17,232,0.62,3.443340592633413,0.6929739106319657
CF,Deep,1,CF 3-1,8/20/17,232,0.27,0.23667724597290793,0.10766153291196534
CF,Deep,2,CF 3-2,8/20/17,232,0.36,0.4711598315940518,0.17378038580496738
CF,Deep,3,CF 3-3,8/20/17,232,0.45,0.9379506931272403,0.28050522478829554
CF,Deep,4,CF 3-4,8/20/17,232,0.5,1.3749840109900042,0.36598500092614666
CF,Deep,5,CF 3-5,8/20/17,232,0.52,1.6023032136535278,0.40707292711230536
CF,Deep,6,CF 3-6,8/20/17,232,0.44,0.8688733580376395,0.26597234879651266
TL,Wet,1,TL 2-1,8/20/17,232,0.5,1.3749840109900042,0.36598500092614666
TL,Wet,2,TL 2-2,8/20/17,232,0.73,7.98801347677745,1.2441307241318789
TL,Wet,3,TL 2-3,8/20/17,232,0.58,2.5356299386452834,0.5601431362332641
TL,Wet,4,TL 2-4,8/20/17,232,0.73,7.98801347677745,1.2441307241318789
TL,Wet,5,TL 2-5,8/20/17,232,0.71,6.854751782652693,1.1185543274854868
TL,Wet,6,TL 2-6,8/20/17,232,0.79,12.6409570607019,1.7119568492137318
TL,Dry,1,TL 1-1,8/20/17,232,0.71,6.854751782652693,1.1185543274854868
TL,Dry,2,TL 1-2,8/20/17,232,0.42,0.7456060530221711,0.23912641651496003
TL,Dry,3,TL 1-3,8/20/17,232,0.63,3.717093711824644,0.7308383877263881
TL,Dry,4,TL 1-4,8/20/17,232,0.5,1.3749840109900042,0.36598500092614666
TL,Dry,5,TL 1-5,8/20/17,232,0.71,6.854751782652693,1.1185543274854868
TL,Dry,6,TL 1-6,8/20/17,232,0.58,2.5356299386452834,0.5601431362332641
TL,Deep,1,TL 3-1,8/20/17,232,0.59,2.737218072652074,0.5907496664735727
TL,Deep,2,TL 3-2,8/20/17,232,0.63,3.717093711824644,0.7308383877263881
TL,Deep,3,TL 3-3,8/20/17,232,0.45,0.9379506931272403,0.28050522478829554
TL,Deep,4,TL 3-4,8/20/17,232,0.71,6.854751782652693,1.1185543274854868
TL,Deep,5,TL 3-5,8/20/17,232,0.53,1.7296898287232623,0.42931561661030765
TL,Deep,6,TL 3-6,8/20/17,232,0.59,2.737218072652074,0.5907496664735727
SG,Wet,1,SG 2-1,8/20/17,232,0.62,3.443340592633413,0.6929739106319657
SG,Wet,2,SG 2-2,8/20/17,232,0.72,7.399719563591174,1.1796727535360667
SG,Wet,3,SG 2-3,8/20/17,232,0.75,9.308631636619992,1.3838051677011611
SG,Wet,4,SG 2-4,8/20/17,232,0.68,5.449054474356078,0.9535504667008488
SG,Wet,5,SG 2-5,8/20/17,232,0.56,2.1758994138663192,0.5036050608606268
SG,Wet,6,SG 2-6,8/20/17,232,0.69,5.882266240333915,1.0056529906931913
SG,Dry,1,SG 1-1,8/20/17,232,0.71,6.854751782652693,1.1185543274854868
SG,Dry,2,SG 1-2,8/20/17,232,0.61,3.1897485928749614,0.6570711786370236
SG,Dry,3,SG 1-3,8/20/17,232,0.61,3.1897485928749614,0.6570711786370236
SG,Dry,4,SG 1-4,8/20/17,232,0.71,6.854751782652693,1.1185543274854868
SG,Dry,5,SG 1-5,8/20/17,232,0.71,6.854751782652693,1.1185543274854868
SG,Dry,6,SG 1-6,8/20/17,232,0.64,4.012610803603205,0.7707718007556803
SG,Deep,1,SG 3-1,8/20/17,232,0.52,1.6023032136535278,0.40707292711230536
SG,Deep,2,SG 3-2,8/20/17,232,0.51,1.4842982515422911,0.38598262345111634
SG,Deep,3,SG 3-3,8/20/17,232,0.57,2.3488881832220447,0.531122319445733
SG,Deep,4,SG 3-4,8/20/17,232,0.64,4.012610803603205,0.7707718007556803
SG,Deep,5,SG 3-5,8/20/17,232,0.59,2.737218072652074,0.5907496664735727
SG,Deep,6,SG 3-6,8/20/17,232,0.48,1.1799146468459667,0.32904428661736607
CF,Wet,1,CF 2-1,9/2/17,245,0.39,0.592705341951152,0.2038516149509959
CF,Wet,2,CF 2-2,9/2/17,245,0.45,0.9379506931272403,0.28050522478829554
CF,Wet,3,CF 2-3,9/2/17,245,0.44,0.8688733580376395,0.26597234879651266
CF,Wet,4,CF 2-4,9/2/17,245,0.5,1.3749840109900042,0.36598500092614666
CF,Wet,5,CF 2-5,9/2/17,245,0.63,3.717093711824644,0.7308383877263881
CF,Wet,6,CF 2-6,9/2/17,245,0.58,2.5356299386452834,0.5601431362332641
CF,Dry,1,CF 1-1,9/2/17,245,0.45,0.9379506931272403,0.28050522478829554
CF,Dry,2,CF 1-2,9/2/17,245,0.42,0.7456060530221711,0.23912641651496003
CF,Dry,3,CF 1-3,9/2/17,245,0.48,1.1799146468459667,0.32904428661736607
CF,Dry,4,CF 1-4,9/2/17,245,0.4,0.6398267148608073,0.21499017974621845
CF,Dry,5,CF 1-5,9/2/17,245,0.55,2.0156507632344045,0.47751346166191155
CF,Dry,6,CF 1-6,9/2/17,245,0.47,1.0930173717178273,0.3119966190852411
CF,Deep,1,CF 3-1,9/2/17,245,0.24,0.18814207239578018,0.09177981116457241
CF,Deep,2,CF 3-2,9/2/17,245,0.31,0.3214035123936924,0.13319208727314968
CF,Deep,3,CF 3-3,9/2/17,245,0.4,0.6398267148608073,0.21499017974621845
CF,Deep,4,CF 3-4,9/2/17,245,0.52,1.6023032136535278,0.40707292711230536
CF,Deep,5,CF 3-5,9/2/17,245,0.56,2.1758994138663192,0.5036050608606268
CF,Deep,6,CF 3-6,9/2/17,245,0.37,0.508618070204669,0.18327584203617128
TL,Wet,1,TL 2-1,9/2/17,245,0.4,0.6398267148608073,0.21499017974621845
TL,Wet,2,TL 2-2,9/2/17,245,0.44,0.8688733580376395,0.26597234879651266
TL,Wet,3,TL 2-3,9/2/17,245,0.43,0.8048833673660827,0.25219241594420944
TL,Wet,4,TL 2-4,9/2/17,245,0.52,1.6023032136535278,0.40707292711230536
TL,Wet,5,TL 2-5,9/2/17,245,0.56,2.1758994138663192,0.5036050608606268
TL,Wet,6,TL 2-6,9/2/17,245,0.51,1.4842982515422911,0.38598262345111634
TL,Dry,1,TL 1-1,9/2/17,245,0.5,1.3749840109900042,0.36598500092614666
TL,Dry,2,TL 1-2,9/2/17,245,0.3,0.29773308036856044,0.1262914525741408
TL,Dry,3,TL 1-3,9/2/17,245,0.47,1.0930173717178273,0.3119966190852411
TL,Dry,4,TL 1-4,9/2/17,245,NA,NA,NA
TL,Dry,5,TL 1-5,9/2/17,245,NA,NA,NA
TL,Dry,6,TL 1-6,9/2/17,245,NA,NA,NA
TL,Deep,1,TL 3-1,9/2/17,245,0.46,1.012519827659118,0.29583218514842796
TL,Deep,2,TL 3-2,9/2/17,245,0.46,1.012519827659118,0.29583218514842796
TL,Deep,3,TL 3-3,9/2/17,245,0.37,0.508618070204669,0.18327584203617128
TL,Deep,4,TL 3-4,9/2/17,245,0.51,1.4842982515422911,0.38598262345111634
TL,Deep,5,TL 3-5,9/2/17,245,0.35,0.43646028309298035,0.1647768857859789
TL,Deep,6,TL 3-6,9/2/17,245,0.58,2.5356299386452834,0.5601431362332641
SG,Wet,1,SG 2-1,9/2/17,245,0.38,0.5490543208310023,0.193290135238654
SG,Wet,2,SG 2-2,9/2/17,245,0.51,1.4842982515422911,0.38598262345111634
SG,Wet,3,SG 2-3,9/2/17,245,0.49,1.273720445681124,0.34702344811611796
SG,Wet,4,SG 2-4,9/2/17,245,0.48,1.1799146468459667,0.32904428661736607
SG,Wet,5,SG 2-5,9/2/17,245,0.43,0.8048833673660827,0.25219241594420944
SG,Wet,6,SG 2-6,9/2/17,245,0.45,0.9379506931272403,0.28050522478829554
SG,Dry,1,SG 1-1,9/2/17,245,0.38,0.5490543208310023,0.193290135238654
SG,Dry,2,SG 1-2,9/2/17,245,0.42,0.7456060530221711,0.23912641651496003
SG,Dry,3,SG 1-3,9/2/17,245,0.44,0.8688733580376395,0.26597234879651266
SG,Dry,4,SG 1-4,9/2/17,245,0.45,0.9379506931272403,0.28050522478829554
SG,Dry,5,SG 1-5,9/2/17,245,0.51,1.4842982515422911,0.38598262345111634
SG,Dry,6,SG 1-6,9/2/17,245,0.49,1.273720445681124,0.34702344811611796
SG,Deep,1,SG 3-1,9/2/17,245,0.45,0.9379506931272403,0.28050522478829554
SG,Deep,2,SG 3-2,9/2/17,245,0.39,0.592705341951152,0.2038516149509959
SG,Deep,3,SG 3-3,9/2/17,245,0.38,0.5490543208310023,0.193290135238654
SG,Deep,4,SG 3-4,9/2/17,245,0.46,1.012519827659118,0.29583218514842796
SG,Deep,5,SG 3-5,9/2/17,245,0.44,0.8688733580376395,0.26597234879651266
SG,Deep,6,SG 3-6,9/2/17,245,0.38,0.5490543208310023,0.193290135238654
CF,Wet,1,CF 2-1,9/11/17,254,0.35,0.43646028309298035,0.1647768857859789
CF,Wet,2,CF 2-2,9/11/17,254,0.34,0.4043162552145069,0.156239853902715
CF,Wet,3,CF 2-3,9/11/17,254,0.37,0.508618070204669,0.18327584203617128
CF,Wet,4,CF 2-4,9/11/17,254,0.4,0.6398267148608073,0.21499017974621845
CF,Wet,5,CF 2-5,9/11/17,254,0.43,0.8048833673660827,0.25219241594420944
CF,Wet,6,CF 2-6,9/11/17,254,0.3,0.29773308036856044,0.1262914525741408
CF,Dry,1,CF 1-1,9/11/17,254,0.33,0.3745395413123016,0.14814512260686796
CF,Dry,2,CF 1-2,9/11/17,254,0.34,0.4043162552145069,0.156239853902715
CF,Dry,3,CF 1-3,9/11/17,254,0.4,0.6398267148608073,0.21499017974621845
CF,Dry,4,CF 1-4,9/11/17,254,0.3,0.29773308036856044,0.1262914525741408
CF,Dry,5,CF 1-5,9/11/17,254,0.45,0.9379506931272403,0.28050522478829554
CF,Dry,6,CF 1-6,9/11/17,254,0.39,0.592705341951152,0.2038516149509959
CF,Deep,1,CF 3-1,9/11/17,254,0.26,0.21924665655285563,0.10208362715967247
CF,Deep,2,CF 3-2,9/11/17,254,0.29,0.27580590667960414,0.11974833730608354
CF,Deep,3,CF 3-3,9/11/17,254,0.38,0.5490543208310023,0.193290135238654
CF,Deep,4,CF 3-4,9/11/17,254,0.4,0.6398267148608073,0.21499017974621845
CF,Deep,5,CF 3-5,9/11/17,254,0.38,0.5490543208310023,0.193290135238654
CF,Deep,6,CF 3-6,9/11/17,254,0.31,0.3214035123936924,0.13319208727314968
TL,Wet,1,TL 2-1,9/11/17,254,0.27,0.23667724597290793,0.10766153291196534
TL,Wet,2,TL 2-2,9/11/17,254,0.36,0.4711598315940518,0.17378038580496738
TL,Wet,3,TL 2-3,9/11/17,254,0.36,0.4711598315940518,0.17378038580496738
TL,Wet,4,TL 2-4,9/11/17,254,0.43,0.8048833673660827,0.25219241594420944
TL,Wet,5,TL 2-5,9/11/17,254,0.37,0.508618070204669,0.18327584203617128
TL,Wet,6,TL 2-6,9/11/17,254,0.47,1.0930173717178273,0.3119966190852411
TL,Dry,1,TL 1-1,9/11/17,254,0.49,1.273720445681124,0.34702344811611796
TL,Dry,2,TL 1-2,9/11/17,254,0.28,0.25549360543072225,0.11354421851433938
TL,Dry,3,TL 1-3,9/11/17,254,0.45,0.9379506931272403,0.28050522478829554
TL,Dry,4,TL 1-4,9/11/17,254,0.32,0.34695579561104917,0.14046977646221773
TL,Dry,5,TL 1-5,9/11/17,254,0.44,0.8688733580376395,0.26597234879651266
TL,Dry,6,TL 1-6,9/11/17,254,0.38,0.5490543208310023,0.193290135238654
TL,Deep,1,TL 3-1,9/11/17,254,0.4,0.6398267148608073,0.21499017974621845
TL,Deep,2,TL 3-2,9/11/17,254,0.41,0.6906943401284741,0.22673736187188107
TL,Deep,3,TL 3-3,9/11/17,254,0.33,0.3745395413123016,0.14814512260686796
TL,Deep,4,TL 3-4,9/11/17,254,0.51,1.4842982515422911,0.38598262345111634
TL,Deep,5,TL 3-5,9/11/17,254,0.3,0.29773308036856044,0.1262914525741408
TL,Deep,6,TL 3-6,9/11/17,254,0.4,0.6398267148608073,0.21499017974621845
SG,Wet,1,SG 2-1,9/11/17,254,0.34,0.4043162552145069,0.156239853902715
SG,Wet,2,SG 2-2,9/11/17,254,0.46,1.012519827659118,0.29583218514842796
SG,Wet,3,SG 2-3,9/11/17,254,0.4,0.6398267148608073,0.21499017974621845
SG,Wet,4,SG 2-4,9/11/17,254,0.41,0.6906943401284741,0.22673736187188107
SG,Wet,5,SG 2-5,9/11/17,254,0.31,0.3214035123936924,0.13319208727314968
SG,Wet,6,SG 2-6,9/11/17,254,0.37,0.508618070204669,0.18327584203617128
SG,Dry,1,SG 1-1,9/11/17,254,0.28,0.25549360543072225,0.11354421851433938
SG,Dry,2,SG 1-2,9/11/17,254,0.37,0.508618070204669,0.18327584203617128
SG,Dry,3,SG 1-3,9/11/17,254,0.41,0.6906943401284741,0.22673736187188107
SG,Dry,4,SG 1-4,9/11/17,254,0.39,0.592705341951152,0.2038516149509959
SG,Dry,5,SG 1-5,9/11/17,254,0.46,1.012519827659118,0.29583218514842796
SG,Dry,6,SG 1-6,9/11/17,254,0.41,0.6906943401284741,0.22673736187188107
SG,Deep,1,SG 3-1,9/11/17,254,0.34,0.4043162552145069,0.156239853902715
SG,Deep,2,SG 3-2,9/11/17,254,0.37,0.508618070204669,0.18327584203617128
SG,Deep,3,SG 3-3,9/11/17,254,0.4,0.6398267148608073,0.21499017974621845
SG,Deep,4,SG 3-4,9/11/17,254,0.41,0.6906943401284741,0.22673736187188107
SG,Deep,5,SG 3-5,9/11/17,254,0.41,0.6906943401284741,0.22673736187188107
SG,Deep,6,SG 3-6,9/11/17,254,0.31,0.3214035123936924,0.13319208727314968
