population,treatment,replicate,tag,date,doy,per,gwc
CF,Wet,1,CF 2-1,7/17/17,198,1.671,4.483642853387963
CF,Wet,2,CF 2-2,7/17/17,198,1.704,4.647454975378914
CF,Wet,3,CF 2-3,7/17/17,198,1.489,3.3521731875924394
CF,Wet,4,CF 2-4,7/17/17,198,1.549,3.76129079724259
CF,Wet,5,CF 2-5,7/17/17,198,1.499,3.422329215367401
CF,Wet,6,CF 2-6,7/17/17,198,1.639,4.310872862942402
CF,Dry,1,CF 1-1,7/17/17,198,1.268,1.6834232157338542
CF,Dry,2,CF 1-2,7/17/17,198,1.304,1.9631918674282722
CF,Dry,3,CF 1-3,7/17/17,198,1.379,2.541409691623922
CF,Dry,4,CF 1-4,7/17/17,198,1.255,1.5824970976098907
CF,Dry,5,CF 1-5,7/17/17,198,1.206,1.2042858493438198
CF,Dry,6,CF 1-6,7/17/17,198,1.446,3.04287922519727
CF,Deep,1,CF 3-1,7/17/17,198,1.125,0.5954066835600216
CF,Deep,2,CF 3-2,7/17/17,198,1.335,2.203475320783358
CF,Deep,3,CF 3-3,7/17/17,198,1.097,0.39244598254046914
CF,Deep,4,CF 3-4,7/17/17,198,1.229,1.3812453855744853
CF,Deep,5,CF 3-5,7/17/17,198,1.132,0.6468548745283982
CF,Deep,6,CF 3-6,7/17/17,198,1.278,1.7611298438442087
TL,Wet,1,TL 2-1,7/17/17,198,1.602,4.095523108305768
TL,Wet,2,TL 2-2,7/17/17,198,1.338,2.226656477166762
TL,Wet,3,TL 2-3,7/17/17,198,1.534,3.661806955683432
TL,Wet,4,TL 2-4,7/17/17,198,1.536,3.6751862032772395
TL,Wet,5,TL 2-5,7/17/17,198,1.663,4.441690007143438
TL,Wet,6,TL 2-6,7/17/17,198,1.492,3.3732958156238153
TL,Dry,1,TL 1-1,7/17/17,198,1.347,2.296096815719686
TL,Dry,2,TL 1-2,7/17/17,198,1.277,1.753357539840429
TL,Dry,3,TL 1-3,7/17/17,198,1.282,1.7922210905332308
TL,Dry,4,TL 1-4,7/17/17,198,1.268,1.6834232157338542
TL,Dry,5,TL 1-5,7/17/17,198,1.229,1.3812453855744853
TL,Dry,6,TL 1-6,7/17/17,198,1.305,1.9709584316709712
TL,Deep,1,TL 3-1,7/17/17,198,1.196,1.1277728706133758
TL,Deep,2,TL 3-2,7/17/17,198,1.227,1.3658109043467925
TL,Deep,3,TL 3-3,7/17/17,198,1.242,1.4817457879583738
TL,Deep,4,TL 3-4,7/17/17,198,1.19,1.0820106099804232
TL,Deep,5,TL 3-5,7/17/17,198,1.122,0.5734398249616244
TL,Deep,6,TL 3-6,7/17/17,198,1.225,1.3503844400083247
SG,Wet,1,SG 2-1,7/17/17,198,1.382,2.564254165985894
SG,Wet,2,SG 2-2,7/17/17,198,1.298,1.9165797739659578
SG,Wet,3,SG 2-3,7/17/17,198,1.717,4.707715212532575
SG,Wet,4,SG 2-4,7/17/17,198,1.452,3.0867188568439934
SG,Wet,5,SG 2-5,7/17/17,198,1.416,2.8208167394882446
SG,Wet,6,SG 2-6,7/17/17,198,1.487,3.338056023704893
SG,Dry,1,SG 1-1,7/17/17,198,1.208,1.2196223328344309
SG,Dry,2,SG 1-2,7/17/17,198,1.26,1.6212983044680322
SG,Dry,3,SG 1-3,7/17/17,198,1.177,0.9832748246188839
SG,Dry,4,SG 1-4,7/17/17,198,1.155,0.8176619012498263
SG,Dry,5,SG 1-5,7/17/17,198,1.199,1.1506960213718251
SG,Dry,6,SG 1-6,7/17/17,198,1.221,1.3195566704020896
SG,Deep,1,SG 3-1,7/17/17,198,1.272,1.7145007977121232
SG,Deep,2,SG 3-2,7/17/17,198,1.116,0.529659354562645
SG,Deep,3,SG 3-3,7/17/17,198,1.168,0.9152845828458184
SG,Deep,4,SG 3-4,7/17/17,198,1.287,1.8310871200912087
SG,Deep,5,SG 3-5,7/17/17,198,1.177,0.9832748246188839
SG,Deep,6,SG 3-6,7/17/17,198,1.079,0.26461738966274206
CF,Wet,1,CF 2-1,7/26/17,207,1.875,5.2152873658321255
CF,Wet,2,CF 2-2,7/26/17,207,1.65,4.371736666592761
CF,Wet,3,CF 2-3,7/26/17,207,1.631,4.2656733945475676
CF,Wet,4,CF 2-4,7/26/17,207,1.699,4.623620498614887
CF,Wet,5,CF 2-5,7/26/17,207,1.665,4.4522574980699146
CF,Wet,6,CF 2-6,7/26/17,207,1.699,4.623620498614887
CF,Dry,1,CF 1-1,7/26/17,207,1.435,2.961990102951327
CF,Dry,2,CF 1-2,7/26/17,207,1.527,3.6147095777235574
CF,Dry,3,CF 1-3,7/26/17,207,NA,NA
CF,Dry,4,CF 1-4,7/26/17,207,1.651,4.377194547522694
CF,Dry,5,CF 1-5,7/26/17,207,1.489,3.3521731875924394
CF,Dry,6,CF 1-6,7/26/17,207,1.415,2.813339061377601
CF,Deep,1,CF 3-1,7/26/17,207,1.216,1.2810719892534073
CF,Deep,2,CF 3-2,7/26/17,207,1.362,2.4114308317471362
CF,Deep,3,CF 3-3,7/26/17,207,1.373,2.4956336394293444
CF,Deep,4,CF 3-4,7/26/17,207,1.352,2.3346010678871925
CF,Deep,5,CF 3-5,7/26/17,207,1.333,2.1880124756089168
CF,Deep,6,CF 3-6,7/26/17,207,1.487,3.338056023704893
TL,Wet,1,TL 2-1,7/26/17,207,1.748,4.841062652365631
TL,Wet,2,TL 2-2,7/26/17,207,1.628,4.248524816828568
TL,Wet,3,TL 2-3,7/26/17,207,1.648,4.360782996929948
TL,Wet,4,TL 2-4,7/26/17,207,1.301,1.9398883360157146
TL,Wet,5,TL 2-5,7/26/17,207,1.796,5.016748396689344
TL,Wet,6,TL 2-6,7/26/17,207,1.712,4.684833405711634
TL,Dry,1,TL 1-1,7/26/17,207,1.601,4.089486234658176
TL,Dry,2,TL 1-2,7/26/17,207,1.477,3.26705565314599
TL,Dry,3,TL 1-3,7/26/17,207,1.584,3.9852122605048996
TL,Dry,4,TL 1-4,7/26/17,207,1.527,3.6147095777235574
TL,Dry,5,TL 1-5,7/26/17,207,1.376,2.5185358710333863
TL,Dry,6,TL 1-6,7/26/17,207,1.559,3.82647693905599
TL,Deep,1,TL 3-1,7/26/17,207,1.342,2.2575387563262463
TL,Deep,2,TL 3-2,7/26/17,207,1.433,2.9472140337838852
TL,Deep,3,TL 3-3,7/26/17,207,1.426,2.8953379798232914
TL,Deep,4,TL 3-4,7/26/17,207,1.349,2.3115052159169625
TL,Deep,5,TL 3-5,7/26/17,207,1.235,1.4275941595853527
TL,Deep,6,TL 3-6,7/26/17,207,1.373,2.4956336394293444
SG,Wet,1,SG 2-1,7/26/17,207,1.752,4.857167657807878
SG,Wet,2,SG 2-2,7/26/17,207,1.672,4.4888271359497764
SG,Wet,3,SG 2-3,7/26/17,207,1.832,5.121952884803714
SG,Wet,4,SG 2-4,7/26/17,207,1.467,3.1953897649544527
SG,Wet,5,SG 2-5,7/26/17,207,1.59,4.0223655290942935
SG,Wet,6,SG 2-6,7/26/17,207,1.689,4.574880020612739
SG,Dry,1,SG 1-1,7/26/17,207,1.688,4.569928410387196
SG,Dry,2,SG 1-2,7/26/17,207,1.581,3.9664952797169706
SG,Dry,3,SG 1-3,7/26/17,207,1.447,3.0501999860515996
SG,Dry,4,SG 1-4,7/26/17,207,1.477,3.26705565314599
SG,Dry,5,SG 1-5,7/26/17,207,1.651,4.377194547522694
SG,Dry,6,SG 1-6,7/26/17,207,1.564,3.8587160950969297
SG,Deep,1,SG 3-1,7/26/17,207,1.387,2.6022605359910043
SG,Deep,2,SG 3-2,7/26/17,207,1.363,2.419099684462186
SG,Deep,3,SG 3-3,7/26/17,207,1.431,2.9324174401277756
SG,Deep,4,SG 3-4,7/26/17,207,1.477,3.26705565314599
SG,Deep,5,SG 3-5,7/26/17,207,1.405,2.738320074973656
SG,Deep,6,SG 3-6,7/26/17,207,1.249,1.5359701645924249
CF,Wet,1,CF 2-1,7/31/17,212,1.968,5.284231012792596
CF,Wet,2,CF 2-2,7/31/17,212,1.829,5.114101655193477
CF,Wet,3,CF 2-3,7/31/17,212,1.709,4.6709265043858235
CF,Wet,4,CF 2-4,7/31/17,212,1.855,5.176410095684082
CF,Wet,5,CF 2-5,7/31/17,212,1.858,5.18275203662602
CF,Wet,6,CF 2-6,7/31/17,212,1.77,4.926404435225848
CF,Dry,1,CF 1-1,7/31/17,212,1.437,2.976745370529344
CF,Dry,2,CF 1-2,7/31/17,212,1.621,4.2080970943801335
CF,Dry,3,CF 1-3,7/31/17,212,1.706,4.656887383175694
CF,Dry,4,CF 1-4,7/31/17,212,1.546,3.7415549715669356
CF,Dry,5,CF 1-5,7/31/17,212,1.451,3.0794265226080633
CF,Dry,6,CF 1-6,7/31/17,212,1.699,4.623620498614887
CF,Deep,1,CF 3-1,7/31/17,212,1.163,0.8776522842975757
CF,Deep,2,CF 3-2,7/31/17,212,1.363,2.419099684462186
CF,Deep,3,CF 3-3,7/31/17,212,1.32,2.0873537970504836
CF,Deep,4,CF 3-4,7/31/17,212,1.316,2.0563369824054467
CF,Deep,5,CF 3-5,7/31/17,212,1.371,2.4803501629648492
CF,Deep,6,CF 3-6,7/31/17,212,1.399,2.693106725388272
TL,Wet,1,TL 2-1,7/31/17,212,1.821,5.092338288167332
TL,Wet,2,TL 2-2,7/31/17,212,1.617,4.184738630889581
TL,Wet,3,TL 2-3,7/31/17,212,1.722,4.730222814378174
TL,Wet,4,TL 2-4,7/31/17,212,1.706,4.656887383175694
TL,Wet,5,TL 2-5,7/31/17,212,1.858,5.18275203662602
TL,Wet,6,TL 2-6,7/31/17,212,1.772,4.933765025340785
TL,Dry,1,TL 1-1,7/31/17,212,1.638,4.305265498331545
TL,Dry,2,TL 1-2,7/31/17,212,1.564,3.8587160950969297
TL,Dry,3,TL 1-3,7/31/17,212,1.582,3.972744576982564
TL,Dry,4,TL 1-4,7/31/17,212,1.729,4.76109654885594
TL,Dry,5,TL 1-5,7/31/17,212,1.418,2.835758434222759
TL,Dry,6,TL 1-6,7/31/17,212,1.407,2.753358270813631
TL,Deep,1,TL 3-1,7/31/17,212,1.243,1.4894879506031158
TL,Deep,2,TL 3-2,7/31/17,212,1.319,2.079601332406215
TL,Deep,3,TL 3-3,7/31/17,212,1.284,1.8077674473557628
TL,Deep,4,TL 3-4,7/31/17,212,1.241,1.4740051099720217
TL,Deep,5,TL 3-5,7/31/17,212,1.119,0.551523736890814
TL,Deep,6,TL 3-6,7/31/17,212,1.294,1.8854954822183803
SG,Wet,1,SG 2-1,7/31/17,212,1.768,4.918976629144815
SG,Wet,2,SG 2-2,7/31/17,212,1.569,3.8907135349616055
SG,Wet,3,SG 2-3,7/31/17,212,1.886,5.233202401452265
SG,Wet,4,SG 2-4,7/31/17,212,1.531,3.641673449492596
SG,Wet,5,SG 2-5,7/31/17,212,1.477,3.26705565314599
SG,Wet,6,SG 2-6,7/31/17,212,1.685,4.554989936008315
SG,Dry,1,SG 1-1,7/31/17,212,1.568,3.884333592108339
SG,Dry,2,SG 1-2,7/31/17,212,1.407,2.753358270813631
SG,Dry,3,SG 1-3,7/31/17,212,1.427,2.9027637877525776
SG,Dry,4,SG 1-4,7/31/17,212,1.229,1.3812453855744853
SG,Dry,5,SG 1-5,7/31/17,212,1.469,3.2097745213988333
SG,Dry,6,SG 1-6,7/31/17,212,1.362,2.4114308317471362
SG,Deep,1,SG 3-1,7/31/17,212,1.326,2.133841814046596
SG,Deep,2,SG 3-2,7/31/17,212,1.258,1.605774995716554
SG,Deep,3,SG 3-3,7/31/17,212,1.269,1.6911918217010111
SG,Deep,4,SG 3-4,7/31/17,212,1.355,2.357675990564332
SG,Deep,5,SG 3-5,7/31/17,212,1.275,1.7378137834982053
SG,Deep,6,SG 3-6,7/31/17,212,1.136,0.6763710882864294
CF,Wet,1,CF 2-1,8/9/17,221,1.693,4.594546131675293
CF,Wet,2,CF 2-2,8/9/17,221,1.755,4.869076637715512
CF,Wet,3,CF 2-3,8/9/17,221,1.747,4.836996209499973
CF,Wet,4,CF 2-4,8/9/17,221,1.918,5.2708265507429415
CF,Wet,5,CF 2-5,8/9/17,221,1.868,5.202596199907551
CF,Wet,6,CF 2-6,8/9/17,221,1.746,4.8329137593074645
CF,Dry,1,CF 1-1,8/9/17,221,1.359,2.388408381034633
CF,Dry,2,CF 1-2,8/9/17,221,1.429,2.9176005990837544
CF,Dry,3,CF 1-3,8/9/17,221,1.767,4.915237606710999
CF,Dry,4,CF 1-4,8/9/17,221,1.52,3.5672012340170944
CF,Dry,5,CF 1-5,8/9/17,221,1.517,3.546717653640494
CF,Dry,6,CF 1-6,8/9/17,221,1.453,3.094005401843462
CF,Deep,1,CF 3-1,8/9/17,221,1.226,1.3580966527476075
CF,Deep,2,CF 3-2,8/9/17,221,1.374,2.503270815680647
CF,Deep,3,CF 3-3,8/9/17,221,1.235,1.4275941595853527
CF,Deep,4,CF 3-4,8/9/17,221,1.317,2.064092890446102
CF,Deep,5,CF 3-5,8/9/17,221,1.266,1.667887790679925
CF,Deep,6,CF 3-6,8/9/17,221,1.364,2.4267658306866866
TL,Wet,1,TL 2-1,8/9/17,221,1.932,5.280292461414644
TL,Wet,2,TL 2-2,8/9/17,221,1.743,4.8205707111447875
TL,Wet,3,TL 2-3,8/9/17,221,1.725,4.743545955942454
TL,Wet,4,TL 2-4,8/9/17,221,1.559,3.82647693905599
TL,Wet,5,TL 2-5,8/9/17,221,1.909,5.262465555673205
TL,Wet,6,TL 2-6,8/9/17,221,1.795,5.013491039323633
TL,Dry,1,TL 1-1,8/9/17,221,1.569,3.8907135349616055
TL,Dry,2,TL 1-2,8/9/17,221,1.379,2.541409691623922
TL,Dry,3,TL 1-3,8/9/17,221,1.642,4.327621219424749
TL,Dry,4,TL 1-4,8/9/17,221,1.794,5.010216012026535
TL,Dry,5,TL 1-5,8/9/17,221,1.515,3.5330216722595655
TL,Dry,6,TL 1-6,8/9/17,221,1.531,3.641673449492596
TL,Deep,1,TL 3-1,8/9/17,221,1.258,1.605774995716554
TL,Deep,2,TL 3-2,8/9/17,221,1.298,1.9165797739659578
TL,Deep,3,TL 3-3,8/9/17,221,1.321,2.095105044620765
TL,Deep,4,TL 3-4,8/9/17,221,1.198,1.1430519508605956
TL,Deep,5,TL 3-5,8/9/17,221,1.157,0.8326332009889792
TL,Deep,6,TL 3-6,8/9/17,221,1.275,1.7378137834982053
SG,Wet,1,SG 2-1,8/9/17,221,1.805,5.04526375086523
SG,Wet,2,SG 2-2,8/9/17,221,1.667,4.462772320819997
SG,Wet,3,SG 2-3,8/9/17,221,1.834,5.127092337994607
SG,Wet,4,SG 2-4,8/9/17,221,1.599,4.077379671286444
SG,Wet,5,SG 2-5,8/9/17,221,1.608,4.131512455487012
SG,Wet,6,SG 2-6,8/9/17,221,1.623,4.219706606736155
SG,Dry,1,SG 1-1,8/9/17,221,1.701,4.633197565950596
SG,Dry,2,SG 1-2,8/9/17,221,1.416,2.8208167394882446
SG,Dry,3,SG 1-3,8/9/17,221,1.473,3.238467220279997
SG,Dry,4,SG 1-4,8/9/17,221,1.258,1.605774995716554
SG,Dry,5,SG 1-5,8/9/17,221,1.321,2.095105044620765
SG,Dry,6,SG 1-6,8/9/17,221,1.279,1.7689023855529715
SG,Deep,1,SG 3-1,8/9/17,221,1.313,2.033062925692215
SG,Deep,2,SG 3-2,8/9/17,221,1.225,1.3503844400083247
SG,Deep,3,SG 3-3,8/9/17,221,1.277,1.753357539840429
SG,Deep,4,SG 3-4,8/9/17,221,1.354,2.3499867328782864
SG,Deep,5,SG 3-5,8/9/17,221,1.191,1.0896296409386244
SG,Deep,6,SG 3-6,8/9/17,221,1.161,0.8626286696136103
CF,Wet,1,CF 2-1,8/20/17,232,1.925,5.276102740136354
CF,Wet,2,CF 2-2,8/20/17,232,1.849,5.163193947964667
CF,Wet,3,CF 2-3,8/20/17,232,1.726,4.747956558714466
CF,Wet,4,CF 2-4,8/20/17,232,2.041,5.196377713586484
CF,Wet,5,CF 2-5,8/20/17,232,1.899,5.251122889377901
CF,Wet,6,CF 2-6,8/20/17,232,1.683,4.544961596379794
CF,Dry,1,CF 1-1,8/20/17,232,1.588,4.01002301366152
CF,Dry,2,CF 1-2,8/20/17,232,1.689,4.574880020612739
CF,Dry,3,CF 1-3,8/20/17,232,1.814,5.072319784147196
CF,Dry,4,CF 1-4,8/20/17,232,1.663,4.441690007143438
CF,Dry,5,CF 1-5,8/20/17,232,1.584,3.9852122605048996
CF,Dry,6,CF 1-6,8/20/17,232,1.47,3.2169573498264645
CF,Deep,1,CF 3-1,8/20/17,232,1.407,2.753358270813631
CF,Deep,2,CF 3-2,8/20/17,232,1.452,3.0867188568439934
CF,Deep,3,CF 3-3,8/20/17,232,1.57,3.8970836359798504
CF,Deep,4,CF 3-4,8/20/17,232,1.398,2.6855571280175705
CF,Deep,5,CF 3-5,8/20/17,232,1.222,1.3272603813258237
CF,Deep,6,CF 3-6,8/20/17,232,1.533,3.6551043702889077
TL,Wet,1,TL 2-1,8/20/17,232,2.069,5.126381458693448
TL,Wet,2,TL 2-2,8/20/17,232,1.826,5.1060807970968325
TL,Wet,3,TL 2-3,8/20/17,232,1.871,5.2081571546247
TL,Wet,4,TL 2-4,8/20/17,232,1.528,3.6214632128438837
TL,Wet,5,TL 2-5,8/20/17,232,1.795,5.013491039323633
TL,Wet,6,TL 2-6,8/20/17,232,1.906,5.259288175254279
TL,Dry,1,TL 1-1,8/20/17,232,1.724,4.73912010787067
TL,Dry,2,TL 1-2,8/20/17,232,1.619,4.1964410100643565
TL,Dry,3,TL 1-3,8/20/17,232,1.594,4.046923452164984
TL,Dry,4,TL 1-4,8/20/17,232,1.899,5.251122889377901
TL,Dry,5,TL 1-5,8/20/17,232,1.568,3.884333592108339
TL,Dry,6,TL 1-6,8/20/17,232,1.675,4.504299388041284
TL,Deep,1,TL 3-1,8/20/17,232,1.331,2.1725429609836198
TL,Deep,2,TL 3-2,8/20/17,232,1.423,2.8730313626317825
TL,Deep,3,TL 3-3,8/20/17,232,1.432,2.939818285198116
TL,Deep,4,TL 3-4,8/20/17,232,1.318,2.071847685325557
TL,Deep,5,TL 3-5,8/20/17,232,1.292,1.8699512988150495
TL,Deep,6,TL 3-6,8/20/17,232,1.442,3.013540714046943
SG,Wet,1,SG 2-1,8/20/17,232,1.755,4.869076637715512
SG,Wet,2,SG 2-2,8/20/17,232,1.543,3.7217377393581383
SG,Wet,3,SG 2-3,8/20/17,232,1.908,5.261428001300601
SG,Wet,4,SG 2-4,8/20/17,232,1.614,4.167098865424701
SG,Wet,5,SG 2-5,8/20/17,232,1.765,4.907709496244742
SG,Wet,6,SG 2-6,8/20/17,232,1.759,4.884727133963767
SG,Dry,1,SG 1-1,8/20/17,232,1.817,5.081009804038956
SG,Dry,2,SG 1-2,8/20/17,232,1.511,3.5055343297394432
SG,Dry,3,SG 1-3,8/20/17,232,1.559,3.82647693905599
SG,Dry,4,SG 1-4,8/20/17,232,1.218,1.2964589484685032
SG,Dry,5,SG 1-5,8/20/17,232,1.611,4.149356495218826
SG,Dry,6,SG 1-6,8/20/17,232,1.463,3.166544823561875
SG,Deep,1,SG 3-1,8/20/17,232,1.404,2.73079471783059
SG,Deep,2,SG 3-2,8/20/17,232,1.328,2.149326789983224
SG,Deep,3,SG 3-3,8/20/17,232,1.473,3.238467220279997
SG,Deep,4,SG 3-4,8/20/17,232,1.443,3.0208835927192887
SG,Deep,5,SG 3-5,8/20/17,232,1.264,1.6523549790504737
SG,Deep,6,SG 3-6,8/20/17,232,1.246,1.5127230001117238
CF,Wet,1,CF 2-1,9/2/17,245,2.089,5.063391366392417
CF,Wet,2,CF 2-2,9/2/17,245,1.774,4.941058122388872
CF,Wet,3,CF 2-3,9/2/17,245,1.914,5.2673283555268835
CF,Wet,4,CF 2-4,9/2/17,245,1.858,5.18275203662602
CF,Wet,5,CF 2-5,9/2/17,245,1.736,4.791216474676451
CF,Wet,6,CF 2-6,9/2/17,245,1.537,3.6818627962013344
CF,Dry,1,CF 1-1,9/2/17,245,1.443,3.0208835927192887
CF,Dry,2,CF 1-2,9/2/17,245,1.625,4.231269270031666
CF,Dry,3,CF 1-3,9/2/17,245,1.786,4.983383832631161
CF,Dry,4,CF 1-4,9/2/17,245,1.654,4.393491959055469
CF,Dry,5,CF 1-5,9/2/17,245,1.551,3.7744023266733553
CF,Dry,6,CF 1-6,9/2/17,245,1.525,3.6011771809523423
CF,Deep,1,CF 3-1,9/2/17,245,1.317,2.064092890446102
CF,Deep,2,CF 3-2,9/2/17,245,1.425,2.8879072832350015
CF,Deep,3,CF 3-3,9/2/17,245,1.273,1.7222713936270568
CF,Deep,4,CF 3-4,9/2/17,245,1.344,2.2729681598499782
CF,Deep,5,CF 3-5,9/2/17,245,1.225,1.3503844400083247
CF,Deep,6,CF 3-6,9/2/17,245,1.493,3.3803223883372464
TL,Wet,1,TL 2-1,9/2/17,245,1.742,4.816424578020826
TL,Wet,2,TL 2-2,9/2/17,245,1.689,4.574880020612739
TL,Wet,3,TL 2-3,9/2/17,245,1.679,4.524739707973911
TL,Wet,4,TL 2-4,9/2/17,245,1.856,5.178543870368579
TL,Wet,5,TL 2-5,9/2/17,245,1.824,5.100639782152323
TL,Wet,6,TL 2-6,9/2/17,245,1.898,5.24987105390136
TL,Dry,1,TL 1-1,9/2/17,245,1.712,4.684833405711634
TL,Dry,2,TL 1-2,9/2/17,245,1.527,3.6147095777235574
TL,Dry,3,TL 1-3,9/2/17,245,1.726,4.747956558714466
TL,Dry,4,TL 1-4,9/2/17,245,NA,NA
TL,Dry,5,TL 1-5,9/2/17,245,NA,NA
TL,Dry,6,TL 1-6,9/2/17,245,NA,NA
TL,Deep,1,TL 3-1,9/2/17,245,1.319,2.079601332406215
TL,Deep,2,TL 3-2,9/2/17,245,1.286,1.8233139236959663
TL,Deep,3,TL 3-3,9/2/17,245,1.401,2.7081940251602203
TL,Deep,4,TL 3-4,9/2/17,245,1.325,2.1260971714101555
TL,Deep,5,TL 3-5,9/2/17,245,1.229,1.3812453855744853
TL,Deep,6,TL 3-6,9/2/17,245,1.344,2.2729681598499782
SG,Wet,1,SG 2-1,9/2/17,245,1.711,4.680212520763946
SG,Wet,2,SG 2-2,9/2/17,245,1.629,4.2542529410381285
SG,Wet,3,SG 2-3,9/2/17,245,1.865,5.196853458908311
SG,Wet,4,SG 2-4,9/2/17,245,1.442,3.013540714046943
SG,Wet,5,SG 2-5,9/2/17,245,1.704,4.647454975378914
SG,Wet,6,SG 2-6,9/2/17,245,1.781,4.966048453513551
SG,Dry,1,SG 1-1,9/2/17,245,1.724,4.73912010787067
SG,Dry,2,SG 1-2,9/2/17,245,1.554,3.7940003965381055
SG,Dry,3,SG 1-3,9/2/17,245,1.564,3.8587160950969297
SG,Dry,4,SG 1-4,9/2/17,245,1.362,2.4114308317471362
SG,Dry,5,SG 1-5,9/2/17,245,1.776,4.94828344926935
SG,Dry,6,SG 1-6,9/2/17,245,1.573,3.9161345416484976
SG,Deep,1,SG 3-1,9/2/17,245,1.372,2.4879934103115477
SG,Deep,2,SG 3-2,9/2/17,245,1.314,2.040821965390909
SG,Deep,3,SG 3-3,9/2/17,245,1.378,2.5337882992690126
SG,Deep,4,SG 3-4,9/2/17,245,1.359,2.388408381034633
SG,Deep,5,SG 3-5,9/2/17,245,1.354,2.3499867328782864
SG,Deep,6,SG 3-6,9/2/17,245,1.231,1.3966876065906473
CF,Wet,1,CF 2-1,9/11/17,254,2.101,5.020267195697827
CF,Wet,2,CF 2-2,9/11/17,254,1.927,5.277411187016021
CF,Wet,3,CF 2-3,9/11/17,254,1.879,5.222090522016359
CF,Wet,4,CF 2-4,9/11/17,254,2.112,4.977162133479212
CF,Wet,5,CF 2-5,9/11/17,254,2.059,5.153785091203439
CF,Wet,6,CF 2-6,9/11/17,254,1.84,5.142053090022487
CF,Dry,1,CF 1-1,9/11/17,254,1.614,4.167098865424701
CF,Dry,2,CF 1-2,9/11/17,254,1.854,5.174256572812525
CF,Dry,3,CF 1-3,9/11/17,254,1.789,4.9935770388860465
CF,Dry,4,CF 1-4,9/11/17,254,1.666,4.457521510285802
CF,Dry,5,CF 1-5,9/11/17,254,1.619,4.1964410100643565
CF,Dry,6,CF 1-6,9/11/17,254,1.858,5.18275203662602
CF,Deep,1,CF 3-1,9/11/17,254,1.267,1.675655193847626
CF,Deep,2,CF 3-2,9/11/17,254,1.601,4.089486234658176
CF,Deep,3,CF 3-3,9/11/17,254,1.311,2.0175419570999535
CF,Deep,4,CF 3-4,9/11/17,254,1.368,2.457402657927297
CF,Deep,5,CF 3-5,9/11/17,254,1.447,3.0501999860515996
CF,Deep,6,CF 3-6,9/11/17,254,1.403,2.7232652340556003
TL,Wet,1,TL 2-1,9/11/17,254,2.114,4.968953749670561
TL,Wet,2,TL 2-2,9/11/17,254,1.925,5.276102740136354
TL,Wet,3,TL 2-3,9/11/17,254,1.852,5.1698904210586125
TL,Wet,4,TL 2-4,9/11/17,254,1.903,5.255917162495935
TL,Wet,5,TL 2-5,9/11/17,254,1.952,5.28617044155654
TL,Wet,6,TL 2-6,9/11/17,254,1.97,5.2835655735207085
TL,Dry,1,TL 1-1,9/11/17,254,1.759,4.884727133963767
TL,Dry,2,TL 1-2,9/11/17,254,1.538,3.6885306556934325
TL,Dry,3,TL 1-3,9/11/17,254,1.679,4.524739707973911
TL,Dry,4,TL 1-4,9/11/17,254,1.866,5.198787846654521
TL,Dry,5,TL 1-5,9/11/17,254,1.582,3.972744576982564
TL,Dry,6,TL 1-6,9/11/17,254,1.692,4.589650722660785
TL,Deep,1,TL 3-1,9/11/17,254,1.381,2.5566426596199574
TL,Deep,2,TL 3-2,9/11/17,254,1.432,2.939818285198116
TL,Deep,3,TL 3-3,9/11/17,254,1.431,2.9324174401277756
TL,Deep,4,TL 3-4,9/11/17,254,1.383,2.571862307746987
TL,Deep,5,TL 3-5,9/11/17,254,1.272,1.7145007977121232
TL,Deep,6,TL 3-6,9/11/17,254,1.408,2.7608710402353513
SG,Wet,1,SG 2-1,9/11/17,254,1.956,5.286245719190158
SG,Wet,2,SG 2-2,9/11/17,254,1.633,4.277045890593471
SG,Wet,3,SG 2-3,9/11/17,254,1.886,5.233202401452265
SG,Wet,4,SG 2-4,9/11/17,254,1.497,3.408356239036632
SG,Wet,5,SG 2-5,9/11/17,254,1.722,4.730222814378174
SG,Wet,6,SG 2-6,9/11/17,254,1.769,4.922698916862296
SG,Dry,1,SG 1-1,9/11/17,254,1.77,4.926404435225848
SG,Dry,2,SG 1-2,9/11/17,254,1.551,3.7744023266733553
SG,Dry,3,SG 1-3,9/11/17,254,1.568,3.884333592108339
SG,Dry,4,SG 1-4,9/11/17,254,1.335,2.203475320783358
SG,Dry,5,SG 1-5,9/11/17,254,1.773,4.937420027816982
SG,Dry,6,SG 1-6,9/11/17,254,1.551,3.7744023266733553
SG,Deep,1,SG 3-1,9/11/17,254,1.419,2.84322238157144
SG,Deep,2,SG 3-2,9/11/17,254,1.307,1.9864894329885754
SG,Deep,3,SG 3-3,9/11/17,254,1.423,2.8730313626317825
SG,Deep,4,SG 3-4,9/11/17,254,1.479,3.281310077071406
SG,Deep,5,SG 3-5,9/11/17,254,1.377,2.5261636808596375
SG,Deep,6,SG 3-6,9/11/17,254,1.483,3.309737954403298
