,Unique.ID,Population,Treatment,Treatment Name,Replicate,Tag,Date,Vcmax,Jmax,Rd,Vcmax_SE,Jmax_SE,Rd_SE
1,CF 1-3_171803,CF,1,Dry,3,CF 1-3,170803,71.77322344,235.8287059,5.803822816,1.306224637,7.790788456,0.410285504
2,CF 1-3_17802,CF,1,Dry,3,CF 1-3,170802,21.8637218,67.99665267,2.688763969,0.852916395,NA,0.18285533
3,CF 1-6_17802,CF,1,Dry,6,CF 1-6,170802,61.12253617,176.6724319,3.99168506,2.837794503,NA,0.668904696
4,CF 2-1_17802,CF,2,Wet,1,CF 2-1,170802,48.74572234,147.6794366,1.287317278,1.791259079,NA,0.354788291
5,CF 2-3_171803,CF,2,Wet,3,CF 2-3,170803,61.7280509,186.3907009,7.309769935,2.638626347,9.936731623,0.848996139
6,CF 2-3_17802,CF,2,Wet,3,CF 2-3,170802,38.42890907,117.1731949,4.467441018,1.314547766,4.659419657,0.468973431
7,CF 3-4_17802,CF,3,Deep,4,CF 3-4,170802,17.43720914,42.99570652,2.100617081,1.156966835,NA,0.443329542
8,CF 3-5_17802,CF,3,Deep,5,CF 3-5,170802,22.58091958,62.03386551,1.572332917,4.419005344,12.12358947,1.476150047
9,SG 1-2_171803,SG,1,Dry,2,SG 1-2,170803,88.86656949,249.0266724,5.798095409,1.809550547,5.307018872,0.448871757
10,SG 1-2_17802,SG,1,Dry,2,SG 1-2,170802,37.96946502,107.985708,3.27531351,1.830665333,NA,0.369482041
11,SG 1-4_17802,SG,1,Dry,4,SG 1-4,170802,59.96643722,185.3099009,4.281643739,4.558777103,NA,0.927979063
12,SG 2-4_17802,SG,2,Wet,4,SG 2-4,170802,77.08297977,208.9346145,2.322477,1.942747184,6.919697381,0.494192574
13,SG 2-5_171803,SG,2,Wet,5,SG 2-5,170803,58.17683856,189.0567126,6.328663391,2.561975346,15.84118287,0.848781084
14,SG 2-5_17802,SG,2,Wet,5,SG 2-5,170802,34.28409343,103.0820437,2.781495329,2.919594121,NA,0.416968095
15,SG 3-1_17802,SG,3,Deep,1,SG 3-1,170802,34.10309359,84.20035249,1.827151264,1.942631702,5.328159257,0.523687809
16,SG 3-4_17802,SG,3,Deep,4,SG 3-4,170802,68.16490521,178.6710079,3.656662642,1.888714007,NA,0.54502234
17,TL 1-4_17802,TL,1,Dry,4,TL 1-4,170802,24.93522936,75.20031877,4.072800644,3.156584945,NA,0.71272424
18,TL 1-5_171803,TL,1,Dry,5,TL 1-5,170803,74.64368996,214.976868,6.725891972,2.79747058,NA,0.757829978
19,TL 1-6_17802,TL,1,Dry,6,TL 1-6,170802,75.21353921,198.1319616,2.420458035,3.416625916,8.310768305,0.831979109
20,TL 2-2_171803,TL,2,Wet,2,TL 2-2,170803,26.40654481,82.53829779,5.075538479,2.902996002,NA,0.720823948
21,TL 2-2_17802,TL,2,Wet,2,TL 2-2,170802,69.29583835,185.2252099,6.356161928,9.962949017,22.38796514,2.514818951
22,TL 2-3_17802,TL,2,Wet,3,TL 2-3,170802,44.98774824,122.9066207,1.930298111,1.15801914,3.497845782,0.341433163
23,TL 3-3_17802,TL,3,Deep,3,TL 3-3,170802,60.15959759,163.3003718,3.623857633,3.581545925,NA,0.68518135
24,TL 3-4_17802,TL,3,Deep,4,TL 3-4,170802,53.75361975,148.4871742,2.274253002,1.746272313,NA,0.502896103