Population,Treatment,Treatment Name,Replicate,Tag,Date,DOY,Pressure (Bar),,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,1,CF 2-1,7/31/17,212,11.5,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,1,TL 2-1,7/31/17,212,17.5,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,1,SG 2-1,7/31/17,212,12,,,,,,,,,,,,,,,,,,,,,
CF,1,Dry,1,CF 1-1,7/31/17,212,13,,,,,,,,,,,,,,,,,,,,,
TL,1,Dry,1,TL 1-1,7/31/17,212,13,,,,,,,,,,,,,,,,,,,,,
SG,1,Dry,1,SG 1-1,7/31/17,212,11,,,,,,,,,,,,,,,,,,,,,
CF,3,Deep,1,CF 3-1,7/31/17,212,10.5,,,,,,,,,,,,,,,,,,,,,
TL,3,Deep,1,TL 3-1,7/31/17,212,13,,,,,,,,,,,,,,,,,,,,,
SG,3,Deep,1,SG 3-1,7/31/17,212,16,,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,2,CF 2-2,7/31/17,212,15,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,2,TL 2-2,7/31/17,212,14,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,2,SG 2-2,7/31/17,212,21,,,,,,,,,,,,,,,,,,,,,
CF,1,Dry,2,CF 1-2,7/31/17,212,17,,,,,,,,,,,,,,,,,,,,,
TL,1,Dry,2,TL 1-2,7/31/17,212,14.5,,,,,,,,,,,,,,,,,,,,,
SG,1,Dry,2,SG 1-2,7/31/17,212,14,,,,,,,,,,,,,,,,,,,,,
CF,3,Deep,2,CF 3-2,7/31/17,212,14.5,,,,,,,,,,,,,,,,,,,,,
TL,3,Deep,2,TL 3-2,7/31/17,212,9.5,,,,,,,,,,,,,,,,,,,,,
SG,3,Deep,2,SG 3-2,7/31/17,212,16.5,,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,3,CF 2-3,7/31/17,212,14.5,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,3,TL 2-3,7/31/17,212,12,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,3,SG 2-3,7/31/17,212,17,,,,,,,,,,,,,,,,,,,,,
CF,1,Dry,3,CF 1-3,7/31/17,212,15,,,,,,,,,,,,,,,,,,,,,
TL,1,Dry,3,TL 1-3,7/31/17,212,14,,,,,,,,,,,,,,,,,,,,,
SG,1,Dry,3,SG 1-3,7/31/17,212,15.5,,,,,,,,,,,,,,,,,,,,,
CF,3,Deep,3,CF 3-3,7/31/17,212,17,,,,,,,,,,,,,,,,,,,,,
TL,3,Deep,3,TL 3-3,7/31/17,212,13,,,,,,,,,,,,,,,,,,,,,
SG,3,Deep,3,SG 3-3,7/31/17,212,12,,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,4,CF 2-4,7/31/17,212,18,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,4,TL 2-4,7/31/17,212,14,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,4,SG 2-4,7/31/17,212,11.5,,,,,,,,,,,,,,,,,,,,,
CF,1,Dry,4,CF 1-4,7/31/17,212,15.5,,,,,,,,,,,,,,,,,,,,,
TL,1,Dry,4,TL 1-4,7/31/17,212,7.5,,,,,,,,,,,,,,,,,,,,,
SG,1,Dry,4,SG 1-4,7/31/17,212,9,,,,,,,,,,,,,,,,,,,,,
CF,3,Deep,4,CF 3-4,7/31/17,212,10,,,,,,,,,,,,,,,,,,,,,
TL,3,Deep,4,TL 3-4,7/31/17,212,15,,,,,,,,,,,,,,,,,,,,,
SG,3,Deep,4,SG 3-4,7/31/17,212,13.5,,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,5,CF 2-5,7/31/17,212,11,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,5,TL 2-5,7/31/17,212,13,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,5,SG 2-5,7/31/17,212,8,,,,,,,,,,,,,,,,,,,,,
CF,1,Dry,5,CF 1-5,7/31/17,212,16,,,,,,,,,,,,,,,,,,,,,
TL,1,Dry,5,TL 1-5,7/31/17,212,12,,,,,,,,,,,,,,,,,,,,,
SG,1,Dry,5,SG 1-5,7/31/17,212,15.5,,,,,,,,,,,,,,,,,,,,,
CF,3,Deep,5,CF 3-5,7/31/17,212,12.5,,,,,,,,,,,,,,,,,,,,,
TL,3,Deep,5,TL 3-5,7/31/17,212,13.5,,,,,,,,,,,,,,,,,,,,,
SG,3,Deep,5,SG 3-5,7/31/17,212,14,,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,6,CF 2-6,7/31/17,212,10.5,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,6,TL 2-6,7/31/17,212,14,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,6,SG 2-6,7/31/17,212,12.5,,,,,,,,,,,,,,,,,,,,,
CF,1,Dry,6,CF 1-6,7/31/17,212,7.5,,,,,,,,,,,,,,,,,,,,,
TL,1,Dry,6,TL 1-6,7/31/17,212,10.5,,,,,,,,,,,,,,,,,,,,,
SG,1,Dry,6,SG 1-6,7/31/17,212,7.5,,,,,,,,,,,,,,,,,,,,,
CF,3,Deep,6,CF 3-6,7/31/17,212,12.5,,,,,,,,,,,,,,,,,,,,,
TL,3,Deep,6,TL 3-6,7/31/17,212,16,,,,,,,,,,,,,,,,,,,,,
SG,3,Deep,6,SG 3-6,7/31/17,212,10,,,,,,,,,,,,,,,,,,,,,
CF,3,Deep,3,CF 3-3,8/9/18,221,14,,,,,,,,,,,,,,,,,,,,,
TL,3,Deep,2,TL 3-2,8/9/18,221,19,,,,,,,,,,,,,,,,,,,,,
SG,3,Deep,3,SG 3-3,8/9/18,221,12,,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,2,CF 2-2,8/9/18,221,9,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,2,TL 2-2,8/9/18,221,9,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,4,SG 2-4,8/9/18,221,12,,,,,,,,,,,,,,,,,,,,,
CF,3,Deep,4,CF 3-4,8/9/18,221,11,,,,,,,,,,,,,,,,,,,,,
TL,3,Deep,6,TL 3-6,8/9/18,221,18,,,,,,,,,,,,,,,,,,,,,
SG,3,Deep,1,SG 3-1,8/9/18,221,18,,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,5,CF 2-5,8/9/18,221,11,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,1,TL 2-1,8/9/18,221,11,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,6,SG 2-6,8/9/18,221,15,,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,1,CF 2-1,8/2/17,214,14,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,1,TL 2-1,8/2/17,214,12.5,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,3,SG 2-3,8/2/17,214,10,,,,,,,,,,,,,,,,,,,,,
CF,1,Dry,4,CF 1-4,8/2/17,214,13,,,,,,,,,,,,,,,,,,,,,
TL,1,Dry,6,TL 1-6,8/2/17,214,14,,,,,,,,,,,,,,,,,,,,,
SG,1,Dry,5,SG 1-5,8/2/17,214,14,,,,,,,,,,,,,,,,,,,,,
CF,3,Deep,3,CF 3-3,8/2/17,214,10.5,,,,,,,,,,,,,,,,,,,,,
TL,3,Deep,6,TL 3-6,8/2/17,214,11.5,,,,,,,,,,,,,,,,,,,,,
SG,3,Deep,5,SG 3-5,8/2/17,214,12,,,,,,,,,,,,,,,,,,,,,
CF,2,Wet,4,CF 2-4,8/2/17,214,11,,,,,,,,,,,,,,,,,,,,,
TL,2,Wet,5,TL 2-5,8/2/17,214,11,,,,,,,,,,,,,,,,,,,,,
SG,2,Wet,1,SG 2-1,8/2/17,214,7,,,,,,,,,,,,,,,,,,,,,
CF,1,Dry,5,CF 1-5,8/2/17,214,9,,,,,,,,,,,,,,,,,,,,,
TL,1,Dry,5,TL 1-5,8/2/17,214,7,,,,,,,,,,,,,,,,,,,,,
SG,1,Dry,6,SG 1-6,8/2/17,214,9,,,,,,,,,,,,,,,,,,,,,
CF,3,Deep,2,CF 3-2,8/2/17,214,14,,,,,,,,,,,,,,,,,,,,,
TL,3,Deep,1,TL 3-1,8/2/17,214,11,,,,,,,,,,,,,,,,,,,,,
SG,3,Deep,6,SG 3-6,8/2/17,214,18,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
